feature,mean_abs_shap,mean_shap
log_coupon_register_total_per_user_lag1_isna,0.0,0.0
log_coupon_MKT_total_per_user_roll4,0.0,0.0
log_coupon_MKT_total_per_user_roll4_isna,0.0,0.0
log_coupon_MKT_total_per_user_lag2_isna,0.0,0.0
log_coupon_MKT_total_per_user_lag2,0.0,0.0
log_coupon_MGM_total_per_user_roll4_isna,0.0,0.0
log_coupon_daily_total_per_user_lag1,0.0,0.0
log_coupon_daily_total_per_user_roll4_isna,0.0,0.0
log_coupon_daily_total_per_user_lag2_isna,0.0,0.0
log_coupon_daily_total_per_user_lag2,0.0,0.0
log_coupon_daily_total_per_user_lag1_isna,0.0,0.0
log_coupon_register_total_per_user_roll4_isna,0.0,0.0
log_coupon_total_per_user_lag1_isna,0.0,0.0
log_coupon_total_per_user_lag2_isna,0.0,0.0
log_coupon_total_per_user_roll4_isna,0.0,0.0
