feature,mean_shap
weekday_trip_cnt_per_user_roll4_isna,0.0
weekday_nonrepeat_cnt_per_user_lag1_isna,0.0
weekday_nonrepeat_cnt_per_user_lag2_isna,0.0
log_coupon_register_total_per_user_lag2_isna,0.0
log_coupon_register_total_per_user_lag1_isna,0.0
log_coupon_MKT_total_per_user_lag2_isna,0.0
log_coupon_growth_other_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag1,0.0
log_coupon_folk_total_per_user_lag1_isna,0.0
log_coupon_folk_total_per_user_lag2,0.0
log_coupon_folk_total_per_user_lag2_isna,0.0
log_coupon_CDP_total_per_user_roll4_isna,0.0
log_coupon_CDP_total_per_user_lag2_isna,0.0
weekday_match_rate_roll4_isna,0.0
weekend_match_rate_lag1_isna,0.0
log_coupon_BD_total_per_user_lag2_isna,0.0
log_coupon_BD_total_per_user_lag1_isna,0.0
log_coupon_MKT_total_per_user_lag1_isna,0.0
log_coupon_MGM_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_roll4,0.0
log_coupon_daily_total_per_user_lag2_isna,0.0
log_coupon_MKT_total_per_user_roll4_isna,0.0
log_coupon_MGM_total_per_user_lag2_isna,0.0
log_coupon_MGM_total_per_user_lag1_isna,0.0
log_coupon_daily_total_per_user_lag1,0.0
log_coupon_register_total_per_user_roll4_isna,0.0
log_coupon_daily_total_per_user_lag1_isna,0.0
log_coupon_total_per_user_lag1_isna,0.0
log_coupon_total_per_user_lag2_isna,0.0
log_coupon_daily_total_per_user_lag2,0.0
log_coupon_total_per_user_roll4_isna,0.0
log_coupon_folk_total_per_user_roll4_isna,0.0
log_coupon_growth_other_total_per_user_lag2_isna,0.0
log_coupon_growth_other_total_per_user_roll4_isna,0.0
weekday_trip_cnt_per_user_lag1,-1.4395340098331405e-06
nonrepeat_cnt_per_user_roll4,-4.216021798252071e-06
log_coupon_folk_total_per_user_roll4,-7.040389533022587e-06
treatment,-7.163427895995825e-06
weekend_nonrepeat_cnt_per_user_lag2,-1.0803979131609893e-05
log_coupon_MKT_total_per_user_lag1,-2.7936277552318302e-05
trip_cnt_per_user_roll4,-3.279253656701299e-05
log_coupon_total_per_user_lag2,-3.31739013898405e-05
log_coupon_BD_total_per_user_lag2,-3.887071585803663e-05
delta_nonrepeat_per_user,-4.845388571739429e-05
log_coupon_total_per_user_roll4,-4.877298154543203e-05
weekend_match_rate_lag1,-0.00010217393632917504
weekend_match_rate_lag2,-0.00010766995768450421
trip_cnt_per_user_lag2,-0.00013466028256053613
weekday_trip_cnt_per_user_lag2,-0.00014695065176147015
log_coupon_MKT_total_per_user_lag2,-0.00015365869114313384
weekend_match_rate_roll4,-0.0001629272175422184
weekday_trip_cnt_per_user_roll4,-0.0001654397222405499
weekday_nonrepeat_cnt_per_user_lag1,-0.00021977358154654986
weekday_nonrepeat_cnt_per_user_roll4,-0.00022078490930183364
weekend_nonrepeat_cnt_per_user_roll4,-0.00023518241214340882
log_coupon_MKT_total_per_user_roll4,-0.00032442425686019487
weekday_match_rate_lag1,-0.0003554398135177123
log_coupon_total_per_user_lag1,-0.0003652395208046744
log_coupon_register_total_per_user_lag2,-0.0005903738165101167
log_coupon_BD_total_per_user_lag1,-0.0006181090246126698
log_coupon_MGM_total_per_user_roll4,-0.0008319222257526168
mgm_day,-0.0011463303032829527
log_coupon_growth_other_total_per_user_roll4,-0.003124286045662487
avg_rainy_weekday,-0.003158626922654964
log_coupon_CDP_total_per_user_lag1,-0.0033066397504199116
avg_rainy_day,-0.009803908660636955
