experiment_date,treatment,source,ops_type_merged,city_group,trip_cnt_per_user,nonrepeat_cnt_per_user,log1p_user_cnt,avg_rainy_day,avg_rainy_weekday,avg_rainy_weekend,mgm_day,has_national_holiday,trip_cnt_per_user_lag1,trip_cnt_per_user_lag1_isna,trip_cnt_per_user_lag2,trip_cnt_per_user_lag2_isna,trip_cnt_per_user_roll4,trip_cnt_per_user_roll4_isna,nonrepeat_cnt_per_user_lag1,nonrepeat_cnt_per_user_lag1_isna,nonrepeat_cnt_per_user_lag2,nonrepeat_cnt_per_user_lag2_isna,nonrepeat_cnt_per_user_roll4,nonrepeat_cnt_per_user_roll4_isna,weekday_nonrepeat_cnt_per_user_lag1,weekday_nonrepeat_cnt_per_user_lag1_isna,weekday_nonrepeat_cnt_per_user_lag2,weekday_nonrepeat_cnt_per_user_lag2_isna,weekday_nonrepeat_cnt_per_user_roll4,weekday_nonrepeat_cnt_per_user_roll4_isna,weekend_nonrepeat_cnt_per_user_lag1,weekend_nonrepeat_cnt_per_user_lag1_isna,weekend_nonrepeat_cnt_per_user_lag2,weekend_nonrepeat_cnt_per_user_lag2_isna,weekend_nonrepeat_cnt_per_user_roll4,weekend_nonrepeat_cnt_per_user_roll4_isna,weekday_trip_cnt_per_user_lag1,weekday_trip_cnt_per_user_lag1_isna,weekday_trip_cnt_per_user_lag2,weekday_trip_cnt_per_user_lag2_isna,weekday_trip_cnt_per_user_roll4,weekday_trip_cnt_per_user_roll4_isna,weekend_trip_cnt_per_user_lag1,weekend_trip_cnt_per_user_lag1_isna,weekend_trip_cnt_per_user_lag2,weekend_trip_cnt_per_user_lag2_isna,weekend_trip_cnt_per_user_roll4,weekend_trip_cnt_per_user_roll4_isna,weekday_match_rate_lag1,weekday_match_rate_lag1_isna,weekday_match_rate_lag2,weekday_match_rate_lag2_isna,weekday_match_rate_roll4,weekday_match_rate_roll4_isna,weekend_match_rate_lag1,weekend_match_rate_lag1_isna,weekend_match_rate_lag2,weekend_match_rate_lag2_isna,weekend_match_rate_roll4,weekend_match_rate_roll4_isna,log_coupon_BD_total_per_user_lag1,log_coupon_BD_total_per_user_lag1_isna,log_coupon_BD_total_per_user_lag2,log_coupon_BD_total_per_user_lag2_isna,log_coupon_BD_total_per_user_roll4,log_coupon_BD_total_per_user_roll4_isna,log_coupon_CDP_total_per_user_lag1,log_coupon_CDP_total_per_user_lag1_isna,log_coupon_CDP_total_per_user_lag2,log_coupon_CDP_total_per_user_lag2_isna,log_coupon_CDP_total_per_user_roll4,log_coupon_CDP_total_per_user_roll4_isna,log_coupon_folk_total_per_user_lag1,log_coupon_folk_total_per_user_lag1_isna,log_coupon_folk_total_per_user_lag2,log_coupon_folk_total_per_user_lag2_isna,log_coupon_folk_total_per_user_roll4,log_coupon_folk_total_per_user_roll4_isna,log_coupon_growth_other_total_per_user_lag1,log_coupon_growth_other_total_per_user_lag1_isna,log_coupon_growth_other_total_per_user_lag2,log_coupon_growth_other_total_per_user_lag2_isna,log_coupon_growth_other_total_per_user_roll4,log_coupon_growth_other_total_per_user_roll4_isna,log_coupon_MGM_total_per_user_lag1,log_coupon_MGM_total_per_user_lag1_isna,log_coupon_MGM_total_per_user_lag2,log_coupon_MGM_total_per_user_lag2_isna,log_coupon_MGM_total_per_user_roll4,log_coupon_MGM_total_per_user_roll4_isna,log_coupon_MKT_total_per_user_lag1,log_coupon_MKT_total_per_user_lag1_isna,log_coupon_MKT_total_per_user_lag2,log_coupon_MKT_total_per_user_lag2_isna,log_coupon_MKT_total_per_user_roll4,log_coupon_MKT_total_per_user_roll4_isna,log_coupon_register_total_per_user_lag1,log_coupon_register_total_per_user_lag1_isna,log_coupon_register_total_per_user_lag2,log_coupon_register_total_per_user_lag2_isna,log_coupon_register_total_per_user_roll4,log_coupon_register_total_per_user_roll4_isna,log_coupon_daily_total_per_user_lag1,log_coupon_daily_total_per_user_lag1_isna,log_coupon_daily_total_per_user_lag2,log_coupon_daily_total_per_user_lag2_isna,log_coupon_daily_total_per_user_roll4,log_coupon_daily_total_per_user_roll4_isna,log_coupon_total_per_user_lag1,log_coupon_total_per_user_lag1_isna,log_coupon_total_per_user_lag2,log_coupon_total_per_user_lag2_isna,log_coupon_total_per_user_roll4,log_coupon_total_per_user_roll4_isna,delta_trip_per_user,delta_nonrepeat_per_user
2025-11-03,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.2176165803108808,0.2746113989637305,5.267858159063328,0.0,0.0,0.0,0,0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
2025-11-10,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1549295774647887,0.2112676056338028,4.276666119016055,0.2448979591836734,0.2285714285714286,0.0,0,0,0.2176165803108808,0,0.0,1,0.0,1,0.2746113989637305,0,0.0,1,0.0,1,0.2124352331606217,0,0.0,1,0.0,1,0.0621761658031088,0,0.0,1,0.0,1,0.1968911917098445,0,0.0,1,0.0,1,0.0207253886010362,0,0.0,1,0.0,1,0.8536842105263157,0,0.0,1,0.0,1,0.7525000000000001,0,0.0,1,0.0,1,0.3540809087616857,0,0.0,1,0.0,1,0.496211584972395,0,0.0,1,0.0,1,1.0986122886681098,0,0.0,1,0.0,1,0.0306146358196068,0,0.0,1,0.0,1,0.0,0,0.0,1,0.0,1,0.1218048738842034,0,0.0,1,0.0,1,0.0306146358196068,0,0.0,1,0.0,1,0.0,0,0.0,1,0.0,1,1.4490502061512944,0,0.0,1,0.0,1,0.2176165803108808,0.2746113989637305
2025-11-17,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1481481481481481,0.2433862433862433,5.247024072160486,0.0,0.0,0.0,0,0,0.1549295774647887,0,0.2176165803108808,0,0.1862730788878347,0,0.2112676056338028,0,0.2746113989637305,0,0.2429395022987666,0,0.1690140845070422,0,0.2124352331606217,0,0.1907246588338319,0,0.0422535211267605,0,0.0621761658031088,0,0.0522148434649346,0,0.0845070422535211,0,0.1968911917098445,0,0.1406991169816828,0,0.0704225352112676,0,0.0207253886010362,0,0.0455739619061519,0,0.9166666666666666,0,0.8536842105263157,0,0.8851754385964912,0,0.8299999999999998,0,0.7525000000000001,0,0.79125,0,0.2911970145592254,0,0.3540809087616857,0,0.3226389616604556,0,0.3424903089467759,0,0.496211584972395,0,0.4193509469595855,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0306146358196068,0,0.0153073179098034,0,0.0,0,0.0,0,0.0,0,0.0,0,0.1218048738842034,0,0.0609024369421017,0,0.0811255448123684,0,0.0306146358196068,0,0.0558700903159876,0,0.0,0,0.0,0,0.0,0,1.343122189254682,0,1.4490502061512944,0,1.396086197702988,0,-0.0626870028460921,-0.0633437933299276
2025-11-24,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1576086956521739,0.2065217391304347,5.220355825078324,0.0,0.0,0.0,5,0,0.1481481481481481,0,0.1549295774647887,0,0.1735647686412725,0,0.2433862433862433,0,0.2112676056338028,0,0.2430884159945922,0,0.1904761904761904,0,0.1690140845070422,0,0.1906418360479514,0,0.0529100529100529,0,0.0422535211267605,0,0.0524465799466407,0,0.1058201058201058,0,0.0845070422535211,0,0.1290727799278238,0,0.0423280423280423,0,0.0704225352112676,0,0.0444919887134487,0,0.8215,0,0.9166666666666666,0,0.8639502923976607,0,0.65,0,0.8299999999999998,0,0.7441666666666666,0,0.3603718058200585,0,0.2911970145592254,0,0.3352165763803232,0,0.5139951985272697,0,0.3424903089467759,0,0.4508990308154803,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0209431738452431,0,0.0,0,0.01718593655495,0,0.0,0,0.0,0,0.0,0,0.0909717782057266,0,0.0,0,0.0709255506966433,0,0.0414567136783461,0,0.0811255448123684,0,0.0510656314367737,0,0.0,0,0.0,0,0.0,0,1.4503367274469858,0,1.343122189254682,0,1.4141697076176538,0,-0.0067814293166405,0.0321186377524404
2025-12-01,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1297297297297297,0.1783783783783784,5.225746673713202,0.0,0.0,0.0,2,0,0.1576086956521739,0,0.1481481481481481,0,0.1695757503939978,0,0.2065217391304347,0,0.2433862433862433,0,0.2339467467785528,0,0.1684782608695652,0,0.1904761904761904,0,0.1851009422533548,0,0.0380434782608695,0,0.0529100529100529,0,0.0488458045251979,0,0.1195652173913043,0,0.1058201058201058,0,0.1266958892936939,0,0.0380434782608695,0,0.0423280423280423,0,0.0428798611003038,0,0.8359090909090909,0,0.8215,0,0.8569399920255183,0,0.7285714285714285,0,0.65,0,0.7402678571428571,0,0.3184537311185346,0,0.3603718058200585,0,0.3310258650648761,0,0.3144933299024376,0,0.5139951985272697,0,0.4167976055872196,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0209431738452431,0,0.0128894524162125,0,0.0,0,0.0,0,0.0,0,0.0783690671155067,0,0.0909717782057266,0,0.0727864298013592,0,0.016172859245601,0,0.0414567136783461,0,0.0423424383889806,0,0.0,0,0.0,0,0.0,0,1.3460949082875873,0,1.4503367274469858,0,1.3971510077851377,0,0.0094605475040257,-0.0368645042558085
2025-12-08,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1989528795811518,0.2356020942408377,5.2574953720277815,0.0,0.0,0.0,0,0,0.1297297297297297,0,0.1576086956521739,0,0.1476040377487101,0,0.1783783783783784,0,0.2065217391304347,0,0.2098884916322148,0,0.1027027027027027,0,0.1684782608695652,0,0.1576678096388751,0,0.0756756756756756,0,0.0380434782608695,0,0.0522206819933396,0,0.0756756756756756,0,0.1195652173913043,0,0.0963920102851517,0,0.054054054054054,0,0.0380434782608695,0,0.0512120274635583,0,0.9042857142857142,0,0.8359090909090909,0,0.8695903679653679,0,0.768,0,0.7285714285714285,0,0.7441428571428571,0,0.3441645822443686,0,0.3184537311185346,0,0.3285467834355468,0,0.4356359857415277,0,0.3144933299024376,0,0.4016537057795028,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0,0,0.0052357934613107,0,0.0160861377516243,0,0.0,0,0.004021534437906,0,0.1026541540600833,0,0.0783690671155067,0,0.0679987498453292,0,0.0213911899813175,0,0.016172859245601,0,0.0400365769294082,0,0.0,0,0.0,0,0.0,0,1.411645952317305,0,1.3460949082875873,0,1.3877999443266398,0,-0.0278789659224441,-0.0281433607520563
2025-12-15,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1421052631578947,0.2052631578947368,5.25227342804663,0.0,0.0,0.0,0,0,0.1989528795811518,0,0.1297297297297297,0,0.1586098632778008,0,0.2356020942408377,0,0.1783783783783784,0,0.2159721137839735,0,0.1727748691099476,0,0.1027027027027027,0,0.1586080057896015,0,0.06282722513089,0,0.0756756756756756,0,0.057364107994372,0,0.1413612565445026,0,0.0756756756756756,0,0.110605563857897,0,0.0575916230366492,0,0.054054054054054,0,0.0480042994199037,0,0.8170370370370371,0,0.9042857142857142,0,0.8446829605579605,0,1.0,0,0.768,0,0.7866428571428571,0,0.59127098898473,0,0.3441645822443686,0,0.4035652770419229,0,0.2968026568485899,0,0.4356359857415277,0,0.3902317927549562,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0,0,0.0052357934613107,0,0.0,0,0.0160861377516243,0,0.004021534437906,0,0.0460439385014068,0,0.1026541540600833,0,0.0795097344706809,0,0.0207261305171169,0,0.0213911899813175,0,0.0249367233555954,0,0.0,0,0.0,0,0.0,0,1.4398103144599983,0,1.411645952317305,0,1.4119719756279692,0,0.069223149851422,0.0572237158624593
2025-12-22,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1666666666666666,0.24,5.707110264748875,0.0,0.0,0.0,5,1,0.1421052631578947,0,0.1989528795811518,0,0.1570991420302375,0,0.2052631578947368,0,0.2356020942408377,0,0.2064413424110969,0,0.131578947368421,0,0.1727748691099476,0,0.1438836950126591,0,0.0736842105263157,0,0.06282722513089,0,0.0625576473984377,0,0.0947368421052631,0,0.1413612565445026,0,0.1078347479291864,0,0.0473684210526315,0,0.0575916230366492,0,0.049264394101051,0,0.7955555555555556,0,0.8170370370370371,0,0.8381968494468495,0,0.68,0,1.0,0,0.7941428571428572,0,0.262364264467491,0,0.59127098898473,0,0.379063391703781,0,0.2125614419836728,0,0.2968026568485899,0,0.314873353619057,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.004021534437906,0,0.1048340613155803,0,0.0460439385014068,0,0.0829753052481443,0,0.0208340869028419,0,0.0207261305171169,0,0.0197810666617193,0,0.0,0,0.0,0,0.0,0,1.2997613386000375,0,1.4398103144599983,0,1.3743281284162323,0,-0.056847616423257,-0.0303389363461009
2025-12-29,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.2089041095890411,0.2808219178082192,5.680172609017068,0.0,0.0,0.0,4,1,0.1666666666666666,0,0.1421052631578947,0,0.1593636347838607,0,0.24,0,0.2052631578947368,0,0.2148109076284882,0,0.1433333333333333,0,0.131578947368421,0,0.1375974631286011,0,0.0966666666666666,0,0.0736842105263157,0,0.0772134444998869,0,0.1066666666666666,0,0.0947368421052631,0,0.1046101102480269,0,0.06,0,0.0473684210526315,0,0.0547535245358336,0,0.849375,0,0.7955555555555556,0,0.8415633267195768,0,0.6461111111111111,0,0.68,0,0.7735277777777777,0,0.1655144384775733,0,0.262364264467491,0,0.3408285685435407,0,0.0922752761091708,0,0.2125614419836728,0,0.2593188401707403,0,1.0986122886681098,0,1.0986122886681098,0,1.0986122886681098,0,0.0,0,0.0,0,0.0,0,0.0551192992210795,0,0.0,0,0.0178013592431759,0,0.0738698485664554,0,0.1048340613155803,0,0.0818505006108815,0,0.0892311337279426,0,0.0208340869028419,0,0.0380456352823047,0,0.0,0,0.0,0,0.0,0,1.25371489622075,0,1.2997613386000375,0,1.351233125399523,0,0.0245614035087718,0.0347368421052632
2026-01-05,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.1842105263157894,0.2157894736842105,5.25227342804663,0.0,0.0,0.0,0,0,0.2089041095890411,0,0.1666666666666666,0,0.1791572297486885,0,0.2808219178082192,0,0.24,0,0.2404217924859484,0,0.2020547945205479,0,0.1433333333333333,0,0.1624354860830624,0,0.0787671232876712,0,0.0966666666666666,0,0.0779863064028858,0,0.1438356164383561,0,0.1066666666666666,0,0.1216500954386971,0,0.0650684931506849,0,0.06,0,0.0575071343099913,0,0.7257142857142856,0,0.849375,0,0.7969204695767196,0,0.8652631578947367,0,0.6461111111111111,0,0.797843567251462,0,0.2340428417722454,0,0.1655144384775733,0,0.31329813342551,0,0.0726391836399716,0,0.0922752761091708,0,0.1685696396453513,0,1.1077032603693615,0,1.0986122886681098,0,1.1008850315934229,0,0.0,0,0.0,0,0.0,0,0.0726391836399716,0,0.0551192992210795,0,0.0319396207152627,0,0.0946873208617341,0,0.0738698485664554,0,0.0798587923112941,0,0.0726391836399716,0,0.0892311337279426,0,0.0508576336969683,0,0.0,0,0.0,0,0.0,0,1.285489661997925,0,1.25371489622075,0,1.319694052819678,0,0.0422374429223744,0.0408219178082192
