ops_type_merged,target,best_baseline_model,best_baseline_rmse,lgbm_model,lgbm_rmse,improve_ratio,improve_pct
14天在其他尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.047552997247135104,lgbm_global,0.026934755768560494,0.43358447778634573,43.35844777863457
14天在其他尖峰預估車資,trip_cnt_per_user,baseline_roll4,0.025803979301635353,lgbm_global,0.019028634067004876,0.2625697825684228,26.256978256842277
14天在晚尖峰預估車資,nonrepeat_cnt_per_user,baseline_lag1,0.06527934171109225,lgbm_global,0.03611991010022406,0.44668697395754253,44.66869739575425
14天在晚尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.02645790373502459,lgbm_global,0.023635673685374482,0.10666869446327606,10.666869446327606
90天在尖峰預估車資,nonrepeat_cnt_per_user,baseline_roll4,0.02141234625409061,lgbm_global,0.016901339496757314,0.21067316508911363,21.067316508911365
90天在尖峰預估車資,trip_cnt_per_user,baseline_lag1,0.009045741282966585,lgbm_global,0.009773346910770512,-0.08043626332471285,-8.043626332471284
喚回-其他,nonrepeat_cnt_per_user,baseline_roll4,0.014716308794715704,lgbm_global,0.008431585254776466,0.42705841713486886,42.70584171348688
喚回-其他,trip_cnt_per_user,baseline_lag1,0.005988669081588214,lgbm_global,0.004238071117958564,0.2923183665318481,29.23183665318481
喚回-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.061522944644307194,lgbm_global,0.043048034008887834,0.30029301656855706,30.029301656855704
喚回-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.03214049299802549,lgbm_global,0.032284913658485286,-0.00449341771044612,-0.449341771044612
既有regular鞏固,nonrepeat_cnt_per_user,baseline_roll4,0.06730751830859835,lgbm_global,0.03572135107528537,0.469281412048109,46.9281412048109
既有regular鞏固,trip_cnt_per_user,baseline_roll4,0.0236207865135849,lgbm_global,0.024055350970113798,-0.01839754388698986,-1.839754388698986
養成Regular-其他,nonrepeat_cnt_per_user,baseline_roll4,0.044119023474332476,lgbm_global,0.03915302242896584,0.11255917865579582,11.255917865579582
養成Regular-其他,trip_cnt_per_user,baseline_roll4,0.030931765973010308,lgbm_global,0.028798577561127935,0.0689643266324884,6.89643266324884
養成Regular-高優惠敏感,nonrepeat_cnt_per_user,baseline_roll4,0.06508158514405535,lgbm_global,0.0547005400213803,0.15950817884501495,15.950817884501495
養成Regular-高優惠敏感,trip_cnt_per_user,baseline_roll4,0.03914087154230779,lgbm_global,0.04037776491110811,-0.03160106865436934,-3.160106865436934
