city_group,total_groups,lag1,lgbm,roll4,lag1_pct,lgbm_pct,roll4_pct,lag1_RMSE_mean,lag1_MAE_mean,roll4_RMSE_mean,roll4_MAE_mean,lgbm_RMSE_mean,lgbm_MAE_mean
中區,8,1,3,4,12.5,37.5,50.0,0.024562493906546842,0.024562493906546842,0.01899889739527738,0.01899889739527738,0.021177688827281,0.021177688827281
北區,8,2,4,2,25.0,50.0,25.0,0.027226640067127002,0.027226640067127002,0.02802807697183726,0.02802807697183726,0.02141602749548989,0.02141602749548989
南區,8,4,3,1,50.0,37.5,12.5,0.019845647525431,0.019845647525431,0.01970096860853375,0.01970096860853375,0.021785127284179088,0.021785127284179088
