city_group,total_groups,lag1,lgbm,roll4,lag1_pct,lgbm_pct,roll4_pct,lag1_RMSE_mean,lag1_MAE_mean,roll4_RMSE_mean,roll4_MAE_mean,lgbm_RMSE_mean,lgbm_MAE_mean
中區,8,0,5,3,0.0,62.5,37.5,0.04234852542963289,0.04234852542963289,0.03677973644892058,0.03677973644892058,0.02718309578291181,0.02718309578291181
北區,8,0,8,0,0.0,100.0,0.0,0.07277898971074823,0.07277898971074823,0.06065437360343947,0.06065437360343947,0.03250057429606476,0.03250057429606476
南區,8,3,2,3,37.5,25.0,37.5,0.036834899915265354,0.036834899915265354,0.03302747047694967,0.03302747047694967,0.03087383093647386,0.03087383093647386
