target,model,MAE,RMSE
nonrepeat_cnt_per_user,baseline_lag1,0.06509851541147225,0.0860113936695436
nonrepeat_cnt_per_user,baseline_roll4,0.05281628190807495,0.06620423571105881
nonrepeat_cnt_per_user,lgbm_global,0.03379220660321661,0.04569513044115456
trip_cnt_per_user,baseline_lag1,0.04185383337528542,0.05803537754765691
trip_cnt_per_user,baseline_roll4,0.0348739067239511,0.045439844094986394
trip_cnt_per_user,lgbm_global,0.028095083149977034,0.03668032083941737
