treatment,source,ops_type_merged,city_group,target,RMSE,MAE,n
30元1張,隨機組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.010467000019892814,0.010467000019892814,1
30元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.010570224626359814,0.010570224626359814,1
20元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.010749808840790243,0.010749808840790243,1
15x2元1張,隨機組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.010821510190618791,0.010821510190618791,1
30元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.011500974452604201,0.011500974452604201,1
30x2元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.011612461910364191,0.011612461910364191,1
30x2元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.011670976752002467,0.011670976752002467,1
40x2元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.011861202856834147,0.011861202856834147,1
20元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.012578384436672842,0.012578384436672842,1
15元1張,隨機組,14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.013247236482292035,0.013247236482292035,1
20元1張,隨機組,喚回-高優惠敏感,南區,nonrepeat_cnt_per_user,0.013302825895453424,0.013302825895453424,1
30元1張,隨機組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.014072131354448902,0.014072131354448902,1
30x2元1張,隨機組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.014843177160654253,0.014843177160654253,1
15元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.015297390581896705,0.015297390581896705,1
20x2元1張,隨機組,養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.015430083148461879,0.015430083148461879,1
40元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.016214360967966968,0.016214360967966968,1
15x2元1張,隨機組,14天在其他尖峰預估車資,南區,nonrepeat_cnt_per_user,0.016230539154672596,0.016230539154672596,1
30元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.01699501289584726,0.01699501289584726,1
40x2元1張,隨機組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.017049010157100697,0.017049010157100697,1
15x2元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.017218081783598405,0.017218081783598405,1
30元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.017268894285292984,0.017268894285292984,1
40x2元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.017334782178981878,0.017334782178981878,1
30x2元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.017716324554366746,0.017716324554366746,1
30元1張,隨機組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.018011708903194507,0.018011708903194507,1
40元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.01834787115292988,0.01834787115292988,1
20x2元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.01913381702080634,0.01913381702080634,1
15x2元1張,隨機組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.019464456853630963,0.019464456853630963,1
40元1張,隨機組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.0199458196197507,0.0199458196197507,1
15x2元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.019980888485418374,0.019980888485418374,1
15x2元1張,隨機組,90天在尖峰預估車資,北區,nonrepeat_cnt_per_user,0.02033842538516105,0.02033842538516105,1
15x2元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.020702528620557943,0.020702528620557943,1
40元1張,隨機組,喚回-其他,北區,nonrepeat_cnt_per_user,0.020883909949407906,0.020883909949407906,1
40元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.020970868687415156,0.020970868687415156,1
15元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.02178604822190533,0.02178604822190533,1
20x2元1張,隨機組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.02180933715465222,0.02180933715465222,1
20x2元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.02214179362114862,0.02214179362114862,1
30x2元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.022490718618335098,0.022490718618335098,1
15元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.02353595874179909,0.02353595874179909,1
15元1張,隨機組,喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.02372004479262811,0.02372004479262811,1
30x2元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.023909222595041177,0.023909222595041177,1
20元1張,隨機組,90天在尖峰預估車資,南區,nonrepeat_cnt_per_user,0.024322330490260557,0.024322330490260557,1
30x2元1張,隨機組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.024413029083994675,0.024413029083994675,1
30x2元1張,隨機組,喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.025090642350828016,0.025090642350828016,1
15x2元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.025210911930120608,0.025210911930120608,1
15x2元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.02651318158914792,0.02651318158914792,1
20x2元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.026635855474839952,0.026635855474839952,1
20x2元1張,隨機組,14天在晚尖峰預估車資,南區,nonrepeat_cnt_per_user,0.026713581587021862,0.026713581587021862,1
15元1張,隨機組,既有regular鞏固,中區,nonrepeat_cnt_per_user,0.02715230034320293,0.02715230034320293,1
30x2元1張,隨機組,既有regular鞏固,南區,nonrepeat_cnt_per_user,0.02731557559996589,0.02731557559996589,1
20x2元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.027811339164691723,0.027811339164691723,1
40元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.027999998712825408,0.027999998712825408,1
40元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.02869950552621818,0.02869950552621818,1
40元1張,隨機組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.028858671724338647,0.028858671724338647,1
40x2元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.029477123564388766,0.029477123564388766,1
15元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.029804934010743106,0.029804934010743106,1
40x2元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.03008420664506098,0.03008420664506098,1
30元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.03140931566121216,0.03140931566121216,1
15x2元1張,隨機組,養成Regular-高優惠敏感,中區,nonrepeat_cnt_per_user,0.03161703820599947,0.03161703820599947,1
30元1張,隨機組,喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.03162909886728174,0.03162909886728174,1
20x2元1張,隨機組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.032825630930715145,0.032825630930715145,1
20元1張,隨機組,14天在其他尖峰預估車資,北區,nonrepeat_cnt_per_user,0.03349535633339781,0.03349535633339781,1
40元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.033772354451204536,0.033772354451204536,1
30x2元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.03407122082881017,0.03407122082881017,1
20元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.034447416046650414,0.034447416046650414,1
30元1張,隨機組,喚回-高優惠敏感,中區,nonrepeat_cnt_per_user,0.03479935789260152,0.03479935789260152,1
15元1張,隨機組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.03514495979225035,0.03514495979225035,1
20元1張,隨機組,既有regular鞏固,北區,nonrepeat_cnt_per_user,0.0354264311180737,0.0354264311180737,1
15元1張,隨機組,14天在其他尖峰預估車資,中區,nonrepeat_cnt_per_user,0.03585820592880709,0.03585820592880709,1
20元1張,隨機組,喚回-其他,南區,nonrepeat_cnt_per_user,0.03621758914555194,0.03621758914555194,1
40x2元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.03681790917282118,0.03681790917282118,1
40x2元1張,隨機組,14天在晚尖峰預估車資,中區,nonrepeat_cnt_per_user,0.037248513166156655,0.037248513166156655,1
15x2元1張,隨機組,養成Regular-其他,南區,nonrepeat_cnt_per_user,0.03756159311884248,0.03756159311884248,1
30x2元1張,隨機組,90天在尖峰預估車資,中區,nonrepeat_cnt_per_user,0.03811062879380114,0.03811062879380114,1
40元1張,隨機組,喚回-高優惠敏感,北區,nonrepeat_cnt_per_user,0.03853362114105954,0.03853362114105954,1
15元1張,隨機組,養成Regular-其他,北區,nonrepeat_cnt_per_user,0.03887304151239491,0.03887304151239491,1
20元1張,隨機組,養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.03976022828632626,0.03976022828632626,1
30元1張,隨機組,喚回-其他,中區,nonrepeat_cnt_per_user,0.04050913783471159,0.04050913783471159,1
40x2元1張,隨機組,養成Regular-高優惠敏感,南區,nonrepeat_cnt_per_user,0.04094395579991299,0.04094395579991299,1
30元1張,隨機組,養成Regular-其他,中區,nonrepeat_cnt_per_user,0.04125919040932304,0.04125919040932304,1
40x2元1張,隨機組,14天在晚尖峰預估車資,北區,nonrepeat_cnt_per_user,0.04135941119797487,0.04135941119797487,1
15x2元1張,隨機組,養成Regular-高優惠敏感,北區,nonrepeat_cnt_per_user,0.0413671287969779,0.0413671287969779,1
