city_group,lag1,lgbm,roll4,lag1_pct,lgbm_pct,roll4_pct,total_groups,lag1_RMSE_mean,roll4_RMSE_mean,lgbm_RMSE_mean
__OVERALL__,34,127,31,17.71,66.15,16.15,192,0.06509851541147225,0.05281628190807495,0.03339789556562625
中區,15,36,13,23.44,56.25,20.31,64,0.0735308986830141,0.05725899274995547,0.04477205198739939
北區,7,57,0,10.94,89.06,0.0,64,0.06806138632106398,0.06160050471909585,0.021653460281635617
南區,12,34,18,18.75,53.12,28.12,64,0.05370326123033865,0.03958934825517356,0.033768174427843745
