metric,trip_cnt_per_user,nonrepeat_cnt_per_user
mean_true,0.11939016344585483,0.17467512168105873
mean_pred_lag1,0.12198564516697889,0.1735191721487467
mean_pred_roll4,0.11113659310419664,0.15408022536875798
mean_pred_lgbm,0.10718864899366887,0.15523686647813922
