target,params
trip_cnt_per_user,"{'objective': 'regression', 'n_estimators': 8000, 'learning_rate': 0.03, 'random_state': 42, 'force_row_wise': True, 'num_leaves': 31, 'max_depth': 6, 'min_child_samples': 300, 'subsample': 0.8, 'colsample_bytree': 0.8, 'bagging_freq': 1, 'reg_alpha': 0.0, 'reg_lambda': 2.0, 'min_split_gain': 0.0}"
nonrepeat_cnt_per_user,"{'objective': 'regression', 'n_estimators': 8000, 'learning_rate': 0.03, 'random_state': 42, 'force_row_wise': True, 'num_leaves': 31, 'max_depth': 6, 'min_child_samples': 200, 'subsample': 0.8, 'colsample_bytree': 0.9, 'bagging_freq': 1, 'reg_alpha': 0.0, 'reg_lambda': 2.0, 'min_split_gain': 0.0}"
