day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag10,nonrepeat_cnt_per_user_lag10,match_rate_lag10,trip_cnt_per_user_lag11,nonrepeat_cnt_per_user_lag11,match_rate_lag11,trip_cnt_per_user_lag12,nonrepeat_cnt_per_user_lag12,match_rate_lag12,trip_cnt_per_user_lag13,nonrepeat_cnt_per_user_lag13,match_rate_lag13,trip_cnt_per_user_lag14,nonrepeat_cnt_per_user_lag14,match_rate_lag14,trip_cnt_per_user_lag15,nonrepeat_cnt_per_user_lag15,match_rate_lag15,trip_cnt_per_user_lag16,nonrepeat_cnt_per_user_lag16,match_rate_lag16,trip_cnt_per_user_lag17,nonrepeat_cnt_per_user_lag17,match_rate_lag17,trip_cnt_per_user_lag18,nonrepeat_cnt_per_user_lag18,match_rate_lag18,trip_cnt_per_user_lag19,nonrepeat_cnt_per_user_lag19,match_rate_lag19,trip_cnt_per_user_lag20,nonrepeat_cnt_per_user_lag20,match_rate_lag20,trip_cnt_per_user_lag21,nonrepeat_cnt_per_user_lag21,match_rate_lag21,mgm_day,face_value,face_value_num
2025-08-20,不發,控制組,14天在其他尖峰預估車資,中區,18.0,25.0,0.72,0,0.7142857142857143,798.0,0.0225563909774436,0.031328320802005,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0.018018018018018,0.024024024024024,0.7777777777777778,0.015015015015015,0.027027027027027,0.5555555555555556,0.021021021021021,0.027027027027027,0.875,0.018018018018018,0.075075075075075,0.2307692307692307,0.033033033033033,0.072072072072072,0.4782608695652174,0,0,0
2025-08-21,不發,控制組,14天在其他尖峰預估車資,中區,14.0,16.0,0.9333333333333332,0,1.0,798.0,0.0175438596491228,0.0200501253132832,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0.018018018018018,0.024024024024024,0.7777777777777778,0.015015015015015,0.027027027027027,0.5555555555555556,0.021021021021021,0.027027027027027,0.875,0.018018018018018,0.075075075075075,0.2307692307692307,0,0,0
2025-08-22,不發,控制組,14天在其他尖峰預估車資,中區,11.0,14.0,0.9285714285714286,0,0.1428571428571428,798.0,0.0137844611528822,0.0175438596491228,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0.018018018018018,0.024024024024024,0.7777777777777778,0.015015015015015,0.027027027027027,0.5555555555555556,0.021021021021021,0.027027027027027,0.875,0,0,0
2025-08-23,不發,控制組,14天在其他尖峰預估車資,中區,21.0,25.0,0.88,1,0.4285714285714285,798.0,0.0263157894736842,0.031328320802005,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0.018018018018018,0.024024024024024,0.7777777777777778,0.015015015015015,0.027027027027027,0.5555555555555556,0,0,0
2025-08-24,不發,控制組,14天在其他尖峰預估車資,中區,15.0,16.0,0.9375,1,0.1428571428571428,798.0,0.018796992481203,0.0200501253132832,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0.018018018018018,0.024024024024024,0.7777777777777778,0,0,0
2025-08-25,不發,控制組,14天在其他尖峰預估車資,中區,12.0,15.0,0.7857142857142857,0,0.5714285714285714,645.0,0.0186046511627906,0.0232558139534883,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0.0268041237113402,0.0357388316151202,0.7818181818181819,0,0,0
2025-08-26,不發,控制組,14天在其他尖峰預估車資,中區,12.0,17.0,0.7777777777777778,0,0.7142857142857143,645.0,0.0186046511627906,0.0263565891472868,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,0.0171821305841924,0.0219931271477663,0.875,0,0,0
2025-08-27,不發,控制組,14天在其他尖峰預估車資,中區,15.0,18.0,0.9,0,0.7142857142857143,645.0,0.0232558139534883,0.027906976744186,,,,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,0.0178694158075601,0.0192439862542955,0.9032258064516128,1,0,0
2025-08-28,不發,控制組,14天在其他尖峰預估車資,中區,17.0,17.0,1.0,0,0.7142857142857143,645.0,0.0263565891472868,0.0263565891472868,,,,,,,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,0.0171821305841924,0.0213058419243986,0.8387096774193549,1,0,0
2025-08-29,不發,控制組,14天在其他尖峰預估車資,中區,16.0,19.0,0.8095238095238095,0,0.8571428571428571,645.0,0.0248062015503875,0.0294573643410852,0.0162907268170426,0.018796992481203,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,0.0219931271477663,0.0323024054982817,0.7391304347826086,0.0233676975945017,0.0288659793814433,0.8780487804878049,0.0309278350515463,0.038487972508591,0.8392857142857143,1,0,0
