day,treatment,source,ops_type_merged,city_group,trip_cnt,nonrepeat_cnt,match_rate,is_weekend_holiday,is_rainy,user_cnt,trip_cnt_per_user,nonrepeat_cnt_per_user,trip_cnt_per_user_lag2w,nonrepeat_cnt_per_user_lag2w,match_rate_lag2w,trip_cnt_per_user_lag3w,nonrepeat_cnt_per_user_lag3w,match_rate_lag3w,face_value,face_value_num
2025-11-29,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,4.0,0.75,1,0.0,184.0,0.0163043478260869,0.0217391304347826,0.056338028169014,0.0704225352112676,0.8,0.0103626943005181,0.0155440414507772,1.0,15,2
2025-11-30,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,6.0,0.6666666666666666,1,0.0,184.0,0.0217391304347826,0.0326086956521739,0.0140845070422535,0.0140845070422535,1.0,0.0103626943005181,0.0207253886010362,0.5,15,2
2025-12-01,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,5.0,1.0,0,0.0,185.0,0.027027027027027,0.027027027027027,0.0158730158730158,0.0264550264550264,0.5714285714285714,0.028169014084507,0.028169014084507,1.0,15,2
2025-12-02,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,0.0,0.0,0.0,0,0.0,185.0,0.0,0.0,0.0158730158730158,0.037037037037037,0.8,0.0422535211267605,0.0422535211267605,1.0,15,2
2025-12-03,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,3.0,3.0,1.0,0,0.0,185.0,0.0162162162162162,0.0162162162162162,0.0211640211640211,0.0317460317460317,1.0,0.0140845070422535,0.0422535211267605,1.0,15,2
2025-12-04,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,2.0,2.0,1.0,0,0.0,185.0,0.0108108108108108,0.0108108108108108,0.0317460317460317,0.0423280423280423,0.8,0.0,0.0,0.0,15,2
2025-12-05,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,7.0,0.7142857142857143,0,0.0,185.0,0.0216216216216216,0.0378378378378378,0.0211640211640211,0.037037037037037,0.8333333333333334,0.0,0.0140845070422535,0.0,15,2
2025-12-06,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,7.0,0.75,1,0.0,185.0,0.027027027027027,0.0378378378378378,0.0264550264550264,0.0423280423280423,0.5714285714285714,0.056338028169014,0.0704225352112676,0.8,15,2
2025-12-07,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,5.0,9.0,0.75,1,0.0,185.0,0.027027027027027,0.0486486486486486,0.0158730158730158,0.0264550264550264,0.8,0.0140845070422535,0.0140845070422535,1.0,15,2
2025-12-08,15x2元1張,隨機組,14天在其他尖峰預估車資,中區,4.0,6.0,0.6,0,0.0,191.0,0.0209424083769633,0.031413612565445,0.0054347826086956,0.0054347826086956,1.0,0.0158730158730158,0.0264550264550264,0.5714285714285714,15,2
